title,authors,type_of_ban,state,district,date_of_challenge_removal,origin_of_challenge,categories,publishing_date,description,text_snippet
Kate in Waiting,"Albertalli, Becky",Banned Pending Investigation,Tennessee,Collierville Schools,February 2022,Administrator,Young Adult Fiction,2021-04-20,"From #1 New York Times bestselling author and rom-com queen Becky Albertalli comes a buoyant new novel about daring to step out of the shadows and into the spotlight in love, life, and, yes, theater. Contrary to popular belief, best friends Kate Garfield and Anderson Walker are not codependent. Carpooling to and from theater rehearsals? Environmentally sound and efficient. Consulting each other on every single life decision? Basic good judgment. Pining for the same guys from afar? Shared crushes are more fun anyway. But when Kate and Andy’s latest long-distance crush shows up at their school, everything goes off-script. Matt Olsson is talented and sweet, and Kate likes him. She really likes him. The only problem? So does Anderson. Turns out, communal crushes aren’t so fun when real feelings are involved. This one might even bring the curtains down on Kate and Anderson’s friendship.","From #1 New York Times bestselling author and rom-com queen Becky Albertalli comes a buoyant new novel about daring to step out of the shadows and into the spotlight in love, life, and, yes, theater."
Leah on the Offbeat (Simonverse Series),"Albertalli, Becky",Banned in Libraries and Classrooms,Idaho,Nampa School District,May 2022,Administrator,Young Adult Fiction,2018-04-24,"#1 New York Times bestseller! Goodreads Choice Award for the best young adult novel of the year! In this sequel to the acclaimed Simon vs. the Homo Sapiens Agenda—now a major motion picture, Love, Simon—we follow Simon’s BFF Leah as she grapples with changing friendships, first love, and senior year angst. When it comes to drumming, Leah Burke is usually on beat—but real life isn’t always so rhythmic. She’s an anomaly in her friend group: the only child of a young, single mom, and her life is decidedly less privileged. She loves to draw but is too self-conscious to show it. And even though her mom knows she’s bisexual, she hasn’t mustered the courage to tell her friends—not even her openly gay BFF, Simon. So Leah really doesn’t know what to do when her rock-solid friend group starts to fracture in unexpected ways. With prom and college on the horizon, tensions are running high. It’s hard for Leah to strike the right note while the people she loves are fighting—especially when she realizes she might love one of them more than she ever intended. Plus don't miss Yes No Maybe So, Becky Albertalli's and Aisha Saeed's heartwarming and hilarious new novel, coming in 2020!","Becky Albertalli returns to the world of her acclaimed first novel, Simon vs. the Homo Sapiens Agenda, in this warm and humorous story of first love and senior-year angst."
Leah on the Offbeat (Simonverse Series),"Albertalli, Becky",Banned Pending Investigation,Tennessee,Collierville Schools,February 2022,Administrator,Young Adult Fiction,2018-04-24,"#1 New York Times bestseller! Goodreads Choice Award for the best young adult novel of the year! In this sequel to the acclaimed Simon vs. the Homo Sapiens Agenda—now a major motion picture, Love, Simon—we follow Simon’s BFF Leah as she grapples with changing friendships, first love, and senior year angst. When it comes to drumming, Leah Burke is usually on beat—but real life isn’t always so rhythmic. She’s an anomaly in her friend group: the only child of a young, single mom, and her life is decidedly less privileged. She loves to draw but is too self-conscious to show it. And even though her mom knows she’s bisexual, she hasn’t mustered the courage to tell her friends—not even her openly gay BFF, Simon. So Leah really doesn’t know what to do when her rock-solid friend group starts to fracture in unexpected ways. With prom and college on the horizon, tensions are running high. It’s hard for Leah to strike the right note while the people she loves are fighting—especially when she realizes she might love one of them more than she ever intended. Plus don't miss Yes No Maybe So, Becky Albertalli's and Aisha Saeed's heartwarming and hilarious new novel, coming in 2020!","Becky Albertalli returns to the world of her acclaimed first novel, Simon vs. the Homo Sapiens Agenda, in this warm and humorous story of first love and senior-year angst."
"Love, Creekwood: A Simonverse Novella (Simonverse Series)","Albertalli, Becky",Banned in Libraries,Texas,North East Independent School District,December 2021,Administrator,Young Adult Fiction,2020-06-30,,Includes an excerpt from author&#39;s Kate in waiting.
Simon vs. the Homo Sapiens Agenda (Simonverse Series),"Albertalli, Becky",Banned Pending Investigation,Tennessee,Collierville Schools,February 2022,Administrator,Young Adult Fiction,2015-04-07,"Now a major motion picture: Love, Simon, starring Nick Robinson and Katherine Langford! This edition includes new Simon and Blue emails, a behind-the-scenes scrapbook from the Love, Simon movie set, and Becky Albertalli in conversation with fellow authors Adam Silvera and Angie Thomas. William C. Morris Award Winner: Best Young Adult Debut of the Year * National Book Award Longlist ""A remarkable gift of a novel.""—Andrew Smith, author of Grasshopper Jungle ""I am so in love with this book.""—Nina LaCour, author of Hold Still ""Feels timelessly, effortlessly now.""—Tim Federle, author of Better Nate Than Ever ""The best kind of love story.""—Alex Sanchez, Lambda Award-winning author of Rainbow Boys and Boyfriends with Girlfriends Sixteen-year-old and not-so-openly gay Simon Spier prefers to save his drama for the school musical. But when an email falls into the wrong hands, his secret is at risk of being thrust into the spotlight. Now change-averse Simon has to find a way to step out of his comfort zone before he's pushed out—without alienating his friends, compromising himself, or fumbling a shot at happiness with the most confusing, adorable guy he's never met. Incredibly funny and poignant, this twenty-first-century coming-of-age, coming out story—wrapped in a geek romance—is a knockout of a debut novel by Becky Albertalli. Plus don't miss Yes No Maybe So, Becky Albertalli's and Aisha Saeed's heartwarming and hilarious new novel, coming in 2020!","This edition includes new Simon and Blue emails, a behind-the-scenes scrapbook from the Love, Simon movie set, and Becky Albertalli in conversation with fellow authors Adam Silvera and Angie Thomas."
Simon vs. the Homo Sapiens Agenda (Simonverse Series),"Albertalli, Becky",Banned Pending Investigation,Texas,Granbury Independent School District,January 2022,Administrator,Young Adult Fiction,2015-04-07,"Now a major motion picture: Love, Simon, starring Nick Robinson and Katherine Langford! This edition includes new Simon and Blue emails, a behind-the-scenes scrapbook from the Love, Simon movie set, and Becky Albertalli in conversation with fellow authors Adam Silvera and Angie Thomas. William C. Morris Award Winner: Best Young Adult Debut of the Year * National Book Award Longlist ""A remarkable gift of a novel.""—Andrew Smith, author of Grasshopper Jungle ""I am so in love with this book.""—Nina LaCour, author of Hold Still ""Feels timelessly, effortlessly now.""—Tim Federle, author of Better Nate Than Ever ""The best kind of love story.""—Alex Sanchez, Lambda Award-winning author of Rainbow Boys and Boyfriends with Girlfriends Sixteen-year-old and not-so-openly gay Simon Spier prefers to save his drama for the school musical. But when an email falls into the wrong hands, his secret is at risk of being thrust into the spotlight. Now change-averse Simon has to find a way to step out of his comfort zone before he's pushed out—without alienating his friends, compromising himself, or fumbling a shot at happiness with the most confusing, adorable guy he's never met. Incredibly funny and poignant, this twenty-first-century coming-of-age, coming out story—wrapped in a geek romance—is a knockout of a debut novel by Becky Albertalli. Plus don't miss Yes No Maybe So, Becky Albertalli's and Aisha Saeed's heartwarming and hilarious new novel, coming in 2020!","This edition includes new Simon and Blue emails, a behind-the-scenes scrapbook from the Love, Simon movie set, and Becky Albertalli in conversation with fellow authors Adam Silvera and Angie Thomas."
Simon vs. the Homo Sapiens Agenda (Simonverse Series),"Albertalli, Becky",Banned Pending Investigation,Texas,North East Independent School District,December 2021,Administrator,Young Adult Fiction,2015-04-07,"Now a major motion picture: Love, Simon, starring Nick Robinson and Katherine Langford! This edition includes new Simon and Blue emails, a behind-the-scenes scrapbook from the Love, Simon movie set, and Becky Albertalli in conversation with fellow authors Adam Silvera and Angie Thomas. William C. Morris Award Winner: Best Young Adult Debut of the Year * National Book Award Longlist ""A remarkable gift of a novel.""—Andrew Smith, author of Grasshopper Jungle ""I am so in love with this book.""—Nina LaCour, author of Hold Still ""Feels timelessly, effortlessly now.""—Tim Federle, author of Better Nate Than Ever ""The best kind of love story.""—Alex Sanchez, Lambda Award-winning author of Rainbow Boys and Boyfriends with Girlfriends Sixteen-year-old and not-so-openly gay Simon Spier prefers to save his drama for the school musical. But when an email falls into the wrong hands, his secret is at risk of being thrust into the spotlight. Now change-averse Simon has to find a way to step out of his comfort zone before he's pushed out—without alienating his friends, compromising himself, or fumbling a shot at happiness with the most confusing, adorable guy he's never met. Incredibly funny and poignant, this twenty-first-century coming-of-age, coming out story—wrapped in a geek romance—is a knockout of a debut novel by Becky Albertalli. Plus don't miss Yes No Maybe So, Becky Albertalli's and Aisha Saeed's heartwarming and hilarious new novel, coming in 2020!","This edition includes new Simon and Blue emails, a behind-the-scenes scrapbook from the Love, Simon movie set, and Becky Albertalli in conversation with fellow authors Adam Silvera and Angie Thomas."
The Upside of Unrequited (Simonverse Series),"Albertalli, Becky",Banned Pending Investigation,Tennessee,Collierville Schools,February 2022,Administrator,Young Adult Fiction,2017-04-11,"From the award-winning author of Simon vs. the Homo Sapiens Agenda comes a funny, authentic novel about sisterhood, love, and identity. “Heart-fluttering, honest, and hilarious. I can’t stop hugging this book.” —Stephanie Perkins, New York Times bestselling author of Anna and the French Kiss ""I have such a crush on this book! Not only is this one a must read, but it's a must re-read."" —Julie Murphy, New York Times bestselling author of Dumplin’ Seventeen-year-old Molly Peskin-Suso knows all about unrequited love. No matter how many times her twin sister, Cassie, tells her to woman up, Molly can’t stomach the idea of rejection. So she’s careful. Fat girls always have to be careful. Then a cute new girl enters Cassie’s orbit, and for the first time ever, Molly’s cynical twin is a lovesick mess. Meanwhile, Molly's totally not dying of loneliness—except for the part where she is. Luckily, Cassie's new girlfriend comes with a cute hipster-boy sidekick. If Molly can win him over, she'll get her first kiss and she'll get her twin back. There's only one problem: Molly's coworker, Reid. He's a chubby Tolkien superfan with a season pass to the Ren Faire, and there's absolutely no way Molly could fall for him. Right? Plus don't miss Yes No Maybe So, Becky Albertalli's and Aisha Saeed's heartwarming and hilarious new novel, coming in 2020!","I can’t stop hugging this book.” —Stephanie Perkins, New York Times bestselling author of Anna and the French Kiss &quot;I have such a crush on this book!"
The Upside of Unrequited (Simonverse Series),"Albertalli, Becky",Banned Pending Investigation,Texas,Granbury Independent School District,January 2022,Administrator,Young Adult Fiction,2017-04-11,"From the award-winning author of Simon vs. the Homo Sapiens Agenda comes a funny, authentic novel about sisterhood, love, and identity. “Heart-fluttering, honest, and hilarious. I can’t stop hugging this book.” —Stephanie Perkins, New York Times bestselling author of Anna and the French Kiss ""I have such a crush on this book! Not only is this one a must read, but it's a must re-read."" —Julie Murphy, New York Times bestselling author of Dumplin’ Seventeen-year-old Molly Peskin-Suso knows all about unrequited love. No matter how many times her twin sister, Cassie, tells her to woman up, Molly can’t stomach the idea of rejection. So she’s careful. Fat girls always have to be careful. Then a cute new girl enters Cassie’s orbit, and for the first time ever, Molly’s cynical twin is a lovesick mess. Meanwhile, Molly's totally not dying of loneliness—except for the part where she is. Luckily, Cassie's new girlfriend comes with a cute hipster-boy sidekick. If Molly can win him over, she'll get her first kiss and she'll get her twin back. There's only one problem: Molly's coworker, Reid. He's a chubby Tolkien superfan with a season pass to the Ren Faire, and there's absolutely no way Molly could fall for him. Right? Plus don't miss Yes No Maybe So, Becky Albertalli's and Aisha Saeed's heartwarming and hilarious new novel, coming in 2020!","I can’t stop hugging this book.” —Stephanie Perkins, New York Times bestselling author of Anna and the French Kiss &quot;I have such a crush on this book!"
The Upside of Unrequited (Simonverse Series),"Albertalli, Becky",Banned Pending Investigation,Texas,North East Independent School District,December 2021,Administrator,Young Adult Fiction,2017-04-11,"From the award-winning author of Simon vs. the Homo Sapiens Agenda comes a funny, authentic novel about sisterhood, love, and identity. “Heart-fluttering, honest, and hilarious. I can’t stop hugging this book.” —Stephanie Perkins, New York Times bestselling author of Anna and the French Kiss ""I have such a crush on this book! Not only is this one a must read, but it's a must re-read."" —Julie Murphy, New York Times bestselling author of Dumplin’ Seventeen-year-old Molly Peskin-Suso knows all about unrequited love. No matter how many times her twin sister, Cassie, tells her to woman up, Molly can’t stomach the idea of rejection. So she’s careful. Fat girls always have to be careful. Then a cute new girl enters Cassie’s orbit, and for the first time ever, Molly’s cynical twin is a lovesick mess. Meanwhile, Molly's totally not dying of loneliness—except for the part where she is. Luckily, Cassie's new girlfriend comes with a cute hipster-boy sidekick. If Molly can win him over, she'll get her first kiss and she'll get her twin back. There's only one problem: Molly's coworker, Reid. He's a chubby Tolkien superfan with a season pass to the Ren Faire, and there's absolutely no way Molly could fall for him. Right? Plus don't miss Yes No Maybe So, Becky Albertalli's and Aisha Saeed's heartwarming and hilarious new novel, coming in 2020!","I can’t stop hugging this book.” —Stephanie Perkins, New York Times bestselling author of Anna and the French Kiss &quot;I have such a crush on this book!"
What If It's Us (What If It's Us Series),"Albertalli, Becky; Silvera, Adam",Banned Pending Investigation,Tennessee,Collierville Schools,February 2022,Administrator,Young Adult Fiction,2018-10-09,"A New York Times, USA Today, and Indie bestseller! Critically acclaimed and bestselling authors Becky Albertalli and Adam Silvera combine their talents in this smart, funny, heartfelt collaboration about two very different boys who can’t decide if the universe is pushing them together—or pulling them apart. ARTHUR is only in New York for the summer, but if Broadway has taught him anything, it’s that the universe can deliver a showstopping romance when you least expect it. BEN thinks the universe needs to mind its business. If the universe had his back, he wouldn’t be on his way to the post office carrying a box of his ex-boyfriend’s things. But when Arthur and Ben meet-cute at the post office, what exactly does the universe have in store for them . . . ? Maybe nothing. After all, they get separated. Maybe everything. After all, they get reunited. But what if they can’t nail a first date even after three do-overs? What if Arthur tries too hard to make it work and Ben doesn’t try hard enough? What if life really isn’t like a Broadway play? But what if it is? What if it’s us? Plus don't miss Here's to Us! Becky Albertalli and Adam Silvera reunite to continue the story of Arthur and Ben, the boys readers first fell for in What If It’s Us.","Plus don&#39;t miss Here&#39;s to Us! Becky Albertalli and Adam Silvera reunite to continue the story of Arthur and Ben, the boys readers first fell for in What If It’s Us. ARTHUR is only in New York for the summer, but if Broadway has taught him ..."
